Time (s),Potential 1 (V),Potential 2 (V)
99.4,1.67277167277,-0.00732600732601
99.5,1.67277167277,-0.00732600732601
99.6,1.67277167277,-0.00732600732601
99.7,1.67277167277,-0.00732600732601
99.8,1.67277167277,-0.00732600732601
99.9,1.66788766789,-0.00732600732601
100,1.67277167277,-0.00732600732601
100.1,1.67277167277,-0.00732600732601
100.2,1.66788766789,-0.002442002442
100.3,1.66788766789,-0.00732600732601
100.4,1.67277167277,-0.00732600732601
100.5,1.67277167277,-0.00732600732601
100.6,1.66788766789,-0.002442002442
100.7,1.67277167277,-0.01221001221
100.8,1.67765567766,-0.002442002442
100.9,1.67277167277,-0.01221001221
101,1.68253968254,-0.002442002442
101.1,1.67765567766,-0.00732600732601
101.2,1.69719169719,-0.002442002442
101.3,1.73626373626,-0.002442002442
101.4,1.73137973138,-0.002442002442
101.5,1.73137973138,-0.00732600732601
101.6,1.7264957265,-0.00732600732601
101.7,1.7264957265,-0.00732600732601
101.8,1.73137973138,-0.00732600732601
101.9,1.73137973138,-0.002442002442
102,1.73626373626,-0.002442002442
102.1,1.7264957265,-0.01221001221
102.2,1.73137973138,-0.002442002442
102.3,1.73137973138,-0.01221001221
102.4,1.73137973138,-0.002442002442
102.5,1.73137973138,-0.002442002442
102.6,1.73137973138,-0.002442002442
102.7,1.73137973138,-0.00732600732601
102.8,1.7264957265,-0.00732600732601
102.9,1.73137973138,-0.002442002442
103,1.73137973138,-0.00732600732601
103.1,1.7264957265,-0.00732600732601
103.2,1.73626373626,-0.002442002442
103.3,1.73137973138,-0.00732600732601
103.4,1.73137973138,-0.00732600732601
103.5,1.73137973138,-0.002442002442
103.6,1.73626373626,-0.002442002442
103.7,1.73137973138,-0.002442002442
103.8,1.73137973138,-0.00732600732601
103.9,1.73137973138,-0.00732600732601
104,1.73626373626,-0.002442002442
104.1,1.73626373626,-0.002442002442
104.2,1.7264957265,-0.00732600732601
104.3,1.73626373626,-0.002442002442
104.4,1.73137973138,-0.002442002442
104.5,1.73137973138,-0.00732600732601
104.6,1.76068376068,-0.002442002442
104.7,1.80463980464,-0.002442002442
104.8,1.79975579976,-0.002442002442
104.9,1.80952380952,-0.002442002442
105,1.79975579976,-0.002442002442
105.1,1.80463980464,-0.002442002442
105.2,1.80952380952,-0.002442002442
105.3,1.79975579976,-0.002442002442
105.4,1.80952380952,-0.002442002442
105.5,1.80463980464,-0.002442002442
105.6,1.80463980464,0.002442002442
105.7,1.80952380952,-0.00732600732601
105.8,1.79975579976,-0.002442002442
105.9,1.80952380952,-0.002442002442
106,1.80463980464,-0.00732600732601
106.1,1.80463980464,-0.002442002442
106.2,1.80463980464,0.002442002442
106.3,1.79975579976,-0.002442002442
106.4,1.80952380952,-0.002442002442
106.5,1.80463980464,-0.00732600732601
106.6,1.80463980464,-0.002442002442
106.7,1.80463980464,-0.002442002442
106.8,1.85347985348,-0.002442002442
106.9,1.86324786325,-0.002442002442
107,1.88278388278,0.002442002442
107.1,1.88766788767,-0.002442002442
107.2,1.88278388278,0.002442002442
107.3,1.88278388278,-0.002442002442
107.4,1.8778998779,-0.002442002442
107.5,1.8778998779,-0.002442002442
107.6,1.8778998779,-0.00732600732601
107.7,1.88278388278,0.002442002442
107.8,1.8778998779,-0.002442002442
107.9,1.88278388278,-0.002442002442
108,1.87301587302,-0.00732600732601
108.1,1.88278388278,-0.002442002442
108.2,1.88278388278,-0.00732600732601
108.3,1.8778998779,-0.002442002442
108.4,1.88278388278,-0.002442002442
108.5,1.88766788767,-0.002442002442
108.6,1.93650793651,-0.002442002442
108.7,1.96092796093,-0.002442002442
108.8,1.96581196581,0.00732600732601
108.9,1.96092796093,-0.002442002442
109,1.96092796093,0.002442002442
109.1,1.96092796093,-0.002442002442
109.2,1.96581196581,0.002442002442
109.3,1.96092796093,-0.002442002442
109.4,1.96581196581,0.002442002442
109.5,1.96581196581,0.002442002442
109.6,1.95604395604,0.002442002442
109.7,1.96581196581,0.002442002442
109.8,1.96581196581,0.002442002442
109.9,1.96581196581,0.002442002442
110,1.96092796093,-0.002442002442
110.1,1.96581196581,0.002442002442
110.2,1.96092796093,-0.002442002442
110.3,1.96092796093,0.002442002442
110.4,1.96581196581,0.00732600732601
110.5,1.95604395604,-0.002442002442
110.6,1.96581196581,0.002442002442
110.7,1.96581196581,-0.002442002442
110.8,1.98046398046,-0.002442002442
110.9,2.00976800977,-0.002442002442
111,2.01465201465,0.00732600732601
111.1,2.01465201465,0.002442002442
111.2,2.00976800977,0.002442002442
111.3,2.01465201465,0.00732600732601
111.4,2.00976800977,-0.00732600732601
111.5,2.01465201465,0.002442002442
111.6,2.01465201465,0.002442002442
111.7,2.00976800977,-0.002442002442
111.8,2.01465201465,0.00732600732601
111.9,2.01465201465,0.002442002442
112,2.00976800977,-0.002442002442
112.1,2.00976800977,-0.002442002442
112.2,2.01465201465,-0.002442002442
